Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
22 May 2024 - 01:03 AM,8.16,126.67,24,2.6,031 km N 64° E of Lingig (Surigao Del Sur)
22 May 2024 - 12:05 AM,13.55,120.56,4,1.8,018 km N 37° E of Paluan (Occidental Mindoro)
21 May 2024 - 11:59 PM,10.81,125.35,15,2.4,034 km S 06° W of Balangiga (Eastern Samar)
21 May 2024 - 11:29 PM,14.35,120.38,119,2,016 km S 52° W of Mariveles (Bataan)
21 May 2024 - 11:28 PM,15.15,120.62,8,2.5,008 km S 31° W of Magalang (Pampanga)
21 May 2024 - 11:06 PM,5.89,126.29,116,2.1,071 km S 88° E of Jose Abad Santos (Davao Occidental)
21 May 2024 - 10:51 PM,5.43,125.3,17,2.5,014 km N 83° W of Balut Island (Municipality Of Sarangani) (Davao Occidental)
21 May 2024 - 10:31 PM,10.9,122.25,4,3.8,018 km S 48° E of Valderrama (Antique)
21 May 2024 - 10:17 PM,6.05,124.71,33,1.8,011 km N 54° E of Kiamba (Sarangani)
21 May 2024 - 09:29 PM,10.84,125.33,9,2,031 km S 12° W of Balangiga (Eastern Samar)
21 May 2024 - 09:23 PM,10.86,125.33,1,3,028 km S 12° W of Balangiga (Eastern Samar)
21 May 2024 - 09:23 PM,8.57,126.59,8,3.2,036 km N 51° E of Hinatuan (Surigao Del Sur)
21 May 2024 - 09:12 PM,10.83,125.39,23,2.2,031 km S 01° E of Balangiga (Eastern Samar)
21 May 2024 - 09:01 PM,10.85,122.35,14,2.5,009 km N 29° W of Leon (Iloilo)
21 May 2024 - 08:52 PM,10.85,125.34,6,3.7,029 km S 10° W of Balangiga (Eastern Samar)
21 May 2024 - 08:37 PM,8.78,126.68,10,1.9,042 km S 87° E of Marihatag (Surigao Del Sur)
21 May 2024 - 08:35 PM,10.14,126.67,4,3.4,066 km N 79° E of Burgos (Surigao Del Norte)
21 May 2024 - 08:34 PM,8.04,125.85,26,2,012 km S 72° W of Veruela (Agusan Del Sur)
21 May 2024 - 08:27 PM,8.12,125.93,3,2.5,007 km N 28° W of Veruela (Agusan Del Sur)
21 May 2024 - 08:16 PM,8.52,126.3,34,1.5,017 km N 15° W of Hinatuan (Surigao Del Sur)
21 May 2024 - 08:12 PM,10.83,125.32,13,2.1,031 km S 14° W of Balangiga (Eastern Samar)
21 May 2024 - 08:05 PM,5.91,126.56,36,2.5,098 km S 33° E of Governor Generoso (Davao Oriental)
21 May 2024 - 07:12 PM,13.82,120.47,51,1.6,018 km S 84° W of Calatagan (Batangas)
21 May 2024 - 05:26 PM,13.54,120.57,34,1.3,018 km N 41° E of Paluan (Occidental Mindoro)
21 May 2024 - 04:43 PM,10.82,125.34,9,2,036 km N 77° E of Abuyog (Leyte)
21 May 2024 - 04:10 PM,8.52,126.27,33,1.9,014 km N 60° E of Tagbina (Surigao Del Sur)
21 May 2024 - 03:22 PM,8.1,126.79,22,2.5,042 km N 81° E of Lingig (Surigao Del Sur)
21 May 2024 - 03:06 PM,11.48,126.13,26,3.6,058 km N 75° E of Hernani (Eastern Samar)
21 May 2024 - 02:01 PM,19.28,119.97,18,2.9,111 km N 40° W of Burgos (Ilocos Norte)
21 May 2024 - 01:26 PM,8.77,126.72,5,2.3,047 km S 86° E of Marihatag (Surigao Del Sur)
21 May 2024 - 12:28 PM,19.02,121.12,18,4.8,014 km S 44° W of Dalupiri Island (Calayan) (Cagayan)
21 May 2024 - 11:47 AM,8.41,126.76,5,2.4,047 km N 85° E of Hinatuan (Surigao Del Sur)
21 May 2024 - 11:09 AM,10.93,122.43,1,3,004 km N 10° W of Maasin (Iloilo)
21 May 2024 - 10:03 AM,10.02,125.52,16,2.3,006 km S 84° W of San Jose (Dinagat Islands)
21 May 2024 - 07:00 AM,19.08,121.45,1,2,021 km S 10° W of Calayan (Cagayan)
21 May 2024 - 06:50 AM,12.8,121.1,11,2.5,031 km N 34° E of Calintaan (Occidental Mindoro)
21 May 2024 - 06:48 AM,16.68,120.13,19,2.2,021 km N 72° W of City Of San Fernando (La Union)
21 May 2024 - 05:33 AM,11.31,124.55,4,1.9,010 km S 46° E of Leyte (Leyte)
21 May 2024 - 04:22 AM,19,120.7,1,2.2,050 km N 10° W of Pagudpud (Ilocos Norte)
21 May 2024 - 04:03 AM,16.38,121.44,32,2,017 km S 33° W of Cabarroguis (Quirino)
21 May 2024 - 03:54 AM,10.79,125.35,1,2.4,036 km N 36° E of Silago (Southern Leyte)
21 May 2024 - 03:26 AM,5.3,126.48,5,3.5,114 km S 80° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
21 May 2024 - 03:21 AM,16.39,120.62,7,2.1,007 km N 61° W of Itogon (Benguet)
21 May 2024 - 03:20 AM,6.53,126.31,116,2.4,029 km S 62° E of Governor Generoso (Davao Oriental)
21 May 2024 - 03:16 AM,7.92,126.64,33,2.1,025 km N 56° E of Cateel (Davao Oriental)
21 May 2024 - 03:12 AM,7.6,126.59,31,2.6,004 km N 55° E of Baganga (Davao Oriental)
21 May 2024 - 03:06 AM,5.12,126.6,55,4.1,131 km S 73° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
21 May 2024 - 03:06 AM,8.75,126.95,1,2.1,074 km S 76° E of Cagwait (Surigao Del Sur)
21 May 2024 - 02:44 AM,16.57,121.06,11,2.4,005 km N 44° E of Ambaguio (Nueva Vizcaya)
21 May 2024 - 02:26 AM,7,125.59,20,2.5,016 km S 59° W of Island Garden City Of Samal (Davao Del Norte)
21 May 2024 - 01:22 AM,12.2,125.45,18,2.1,007 km N 67° W of San Policarpo (Eastern Samar)
21 May 2024 - 01:05 AM,19.1,121.82,2,3.6,022 km N 13° W of Camiguin Island (Calayan) (Cagayan)
21 May 2024 - 12:51 AM,12.31,125.54,19,2.3,014 km N 13° E of San Policarpo (Eastern Samar)
21 May 2024 - 12:34 AM,4.45,126.87,70,4.3,193 km S 56° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
21 May 2024 - 12:17 AM,10.85,125.36,16,2.1,029 km S 06° W of Balangiga (Eastern Samar)
21 May 2024 - 12:11 AM,6.18,126.21,31,2.4,055 km S 16° E of Governor Generoso (Davao Oriental)
21 May 2024 - 12:03 AM,7.91,127.19,1,2.6,078 km N 62° E of Baganga (Davao Oriental)
20 May 2024 - 11:49 PM,13.58,120.04,29,1.8,027 km S 55° W of Looc (Occidental Mindoro)
20 May 2024 - 11:40 PM,12.34,125.54,14,2.4,018 km N 12° E of San Policarpo (Eastern Samar)
20 May 2024 - 11:36 PM,12.45,126.27,20,2.5,088 km N 71° E of San Policarpo (Eastern Samar)
20 May 2024 - 11:28 PM,12.31,125.55,13,2.7,020 km N 75° E of Arteche (Eastern Samar)
20 May 2024 - 11:14 PM,6.18,124.82,33,1.4,003 km S 14° W of T'boli (South Cotabato)
20 May 2024 - 11:11 PM,16.27,119.72,30,2.4,018 km N 56° W of Bani (Pangasinan)
20 May 2024 - 09:28 PM,10.12,126.21,14,2.6,019 km N 52° E of Burgos (Surigao Del Norte)
20 May 2024 - 09:09 PM,10.37,122.46,28,1.9,019 km S 28° W of Nueva Valencia (Guimaras)
20 May 2024 - 08:33 PM,6.89,126.79,192,3.9,041 km S 66° E of Tarragona (Davao Oriental)
20 May 2024 - 04:44 PM,10.41,125.63,44,3.2,008 km N 44° E of Loreto (Dinagat Islands)
20 May 2024 - 02:30 PM,7.14,126.89,21,2.6,039 km S 79° E of Manay (Davao Oriental)
20 May 2024 - 01:59 PM,8.14,126.53,32,1.9,017 km N 48° E of Lingig (Surigao Del Sur)
20 May 2024 - 01:07 PM,8.64,126.6,25,2.5,037 km S 63° E of Marihatag (Surigao Del Sur)
20 May 2024 - 12:59 PM,17.7,120.61,1,3,006 km N 84° W of Danglas (Abra)
20 May 2024 - 12:26 PM,19.1,121.1,6,2,011 km S 87° W of Dalupiri Island (Calayan) (Cagayan)
20 May 2024 - 09:18 AM,8.89,125.71,33,1.7,008 km N 11° E of Sibagat (Agusan Del Sur)
20 May 2024 - 08:44 AM,15.56,120.59,34,1.9,005 km S 07° W of Gerona (Tarlac)
20 May 2024 - 07:41 AM,11.77,125.77,8,2,034 km N 88° E of San Julian (Eastern Samar)
20 May 2024 - 06:39 AM,14.72,121.95,18,1.6,001 km N 71° E of Polillo (Quezon)
20 May 2024 - 05:53 AM,13.54,120.7,126,2.2,011 km N 18° W of Abra De Ilog (Occidental Mindoro)
20 May 2024 - 05:35 AM,13.55,125.04,12,3.1,074 km S 81° E of Baras (Catanduanes)
20 May 2024 - 05:22 AM,17.22,120.81,23,3.3,010 km S 67° E of Tubo (Abra)
20 May 2024 - 05:17 AM,9.47,126.23,21,4.5,021 km N 11° E of Cortes (Surigao Del Sur)
20 May 2024 - 04:08 AM,6.1,126.42,94,2,072 km S 32° E of Governor Generoso (Davao Oriental)
20 May 2024 - 03:56 AM,19.18,121.31,13,2.4,013 km N 55° E of Dalupiri Island (Calayan) (Cagayan)
20 May 2024 - 02:39 AM,11.79,126.06,6,2.7,067 km N 86° E of San Julian (Eastern Samar)
20 May 2024 - 02:24 AM,9.36,124.77,1,1.9,014 km N 22° E of Mambajao (Camiguin)
20 May 2024 - 02:22 AM,13.63,120.39,101,3.9,019 km S 56° E of Looc (Occidental Mindoro)
20 May 2024 - 01:36 AM,11.72,125.76,11,3.2,033 km S 83° E of San Julian (Eastern Samar)
20 May 2024 - 01:09 AM,17.49,120.75,11,1.9,004 km N 20° W of Sallapadan (Abra)
20 May 2024 - 01:04 AM,6.61,125.59,1,2.4,014 km N 64° E of Santa Maria (Davao Occidental)
20 May 2024 - 12:50 AM,11.83,126.16,31,2.6,077 km N 89° E of Sulat (Eastern Samar)
20 May 2024 - 12:40 AM,16.31,120.53,24,1.8,007 km S 83° E of Pugo (La Union)
20 May 2024 - 12:31 AM,6.41,124.97,32,2.1,006 km S 53° E of Tampakan (South Cotabato)
20 May 2024 - 12:14 AM,8.81,126.75,11,1.9,050 km N 89° E of Marihatag (Surigao Del Sur)
20 May 2024 - 12:13 AM,8.65,126.97,1,2.3,076 km N 66° E of Hinatuan (Surigao Del Sur)
20 May 2024 - 12:08 AM,10,123.09,20,2.6,012 km N 81° W of Jimalalud (Negros Oriental)
19 May 2024 - 11:46 PM,9.93,126.11,31,1.7,003 km S 67° E of San Isidro (Surigao Del Norte)
19 May 2024 - 11:42 PM,18.38,122.57,20,2.8,046 km S 79° E of Santa Ana (Cagayan)
19 May 2024 - 11:18 PM,6.09,125.73,141,2.4,013 km S 19° E of Don Marcelino (Davao Occidental)
19 May 2024 - 11:10 PM,18.54,121.05,25,1.8,008 km S 25° W of Claveria (Cagayan)
19 May 2024 - 10:50 PM,6.06,125.54,22,2.6,020 km N 35° W of Jose Abad Santos (Davao Occidental)
19 May 2024 - 10:26 PM,6.19,126.42,112,1.9,064 km S 37° E of Governor Generoso (Davao Oriental)
19 May 2024 - 07:42 PM,8.09,126.75,20,2,038 km N 82° E of Lingig (Surigao Del Sur)
19 May 2024 - 07:28 PM,8.2,126.84,33,2.4,050 km N 69° E of Lingig (Surigao Del Sur)
19 May 2024 - 07:25 PM,8.96,126.66,6,2.3,040 km N 83° E of Cagwait (Surigao Del Sur)
19 May 2024 - 06:25 PM,6.14,124.73,40,1.7,009 km S 10° E of Lake Sebu (South Cotabato)
19 May 2024 - 05:40 PM,17.11,121.44,21,2.4,008 km S 27° E of Paracelis (Mountain Province)
19 May 2024 - 05:00 PM,5.93,126.56,67,2.5,097 km S 34° E of Governor Generoso (Davao Oriental)
19 May 2024 - 02:55 PM,10.09,126.28,26,3.1,024 km N 71° E of Burgos (Surigao Del Norte)
19 May 2024 - 01:50 PM,13.49,125.13,1,3.3,084 km S 77° E of Baras (Catanduanes)
19 May 2024 - 01:10 PM,12.74,124.54,83,3.1,020 km N 70° E of Biri (Northern Samar)
19 May 2024 - 11:19 AM,8.88,126.38,29,3.3,009 km S 61° E of Cagwait (Surigao Del Sur)
19 May 2024 - 09:04 AM,9.1,126.69,5,2.5,047 km N 71° E of Bayabas (Surigao Del Sur)
19 May 2024 - 08:53 AM,9.12,124.81,2,2.8,003 km N 80° E of Mahinog (Camiguin)
19 May 2024 - 08:25 AM,8.88,121.8,29,3.4,102 km S 41° E of Cagayancillo (Palawan)
19 May 2024 - 07:40 AM,5.67,127.18,105,2.6,164 km S 49° E of Governor Generoso (Davao Oriental)
19 May 2024 - 07:30 AM,8.15,126.4,136,2.6,011 km S 52° E of City Of Bislig (Surigao Del Sur)
19 May 2024 - 07:30 AM,15.62,119.77,27,1.7,018 km S 87° W of Candelaria (Zambales)
19 May 2024 - 07:20 AM,8.75,126.56,25,1.8,029 km S 80° E of Marihatag (Surigao Del Sur)
19 May 2024 - 06:57 AM,10.85,125.31,1,2.8,035 km N 71° E of Abuyog (Leyte)
19 May 2024 - 05:18 AM,5.07,126.18,10,2.6,086 km S 61° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
19 May 2024 - 03:44 AM,8.03,126.77,18,2.3,039 km S 89° E of Lingig (Surigao Del Sur)
19 May 2024 - 03:18 AM,13.19,120.4,18,2.3,021 km S 79° W of Mamburao (Occidental Mindoro)
19 May 2024 - 03:18 AM,9.11,124.8,10,2.5,002 km N 47° E of Guinsiliban (Camiguin)
19 May 2024 - 03:07 AM,6.71,127.06,8,3.7,077 km S 61° E of Tarragona (Davao Oriental)
19 May 2024 - 03:03 AM,8.91,122.97,7,2.5,018 km S 21° W of Siaton (Negros Oriental)
19 May 2024 - 02:41 AM,8.25,125.2,1,2.5,016 km N 31° E of City Of Malaybalay (Bukidnon)
19 May 2024 - 02:36 AM,14.38,123.47,31,2.1,046 km N 30° E of Siruma (Camarines Sur)
19 May 2024 - 02:09 AM,10.31,125.19,23,2.2,006 km N 14° E of San Juan (Southern Leyte)
19 May 2024 - 01:49 AM,8.25,126.99,20,1.7,068 km N 70° E of Lingig (Surigao Del Sur)
19 May 2024 - 01:46 AM,9.63,126.19,32,2.2,017 km S 13° E of General Luna (Surigao Del Norte)
19 May 2024 - 01:37 AM,19.36,121.06,9,3.2,032 km N 28° W of Dalupiri Island (Calayan) (Cagayan)
18 May 2024 - 11:57 PM,6.29,126.13,33,2.5,041 km S 08° E of Governor Generoso (Davao Oriental)
18 May 2024 - 11:42 PM,8.81,126.56,19,2.1,031 km S 67° E of Cagwait (Surigao Del Sur)
18 May 2024 - 11:33 PM,5.92,124.29,27,2,027 km S 56° W of Maitum (Sarangani)
18 May 2024 - 11:13 PM,6.56,124.51,25,2.2,007 km N 62° W of Bagumbayan (Sultan Kudarat)
18 May 2024 - 11:09 PM,9.93,124.55,32,2,008 km N 22° E of Mabini (Bohol)
18 May 2024 - 10:36 PM,16.29,120.6,33,1.8,012 km S 46° W of Itogon (Benguet)
18 May 2024 - 09:34 PM,2.72,126.68,82,4.1,328 km S 25° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
18 May 2024 - 09:31 PM,2.98,126.4,69,3.4,290 km S 22° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
18 May 2024 - 09:13 PM,9.06,125.93,94,2.1,017 km N 45° W of San Miguel (Surigao Del Sur)
18 May 2024 - 09:00 PM,6.34,126.96,111,2.6,096 km S 36° E of Tarragona (Davao Oriental)
18 May 2024 - 08:51 PM,17.63,120.57,10,4.3,006 km N 52° W of Bangued (Abra)
18 May 2024 - 08:43 PM,20.23,121.31,27,3.2,060 km S 78° W of Sabtang (Batanes)
18 May 2024 - 07:52 PM,20.38,120.93,31,2.7,099 km N 87° W of Sabtang (Batanes)
18 May 2024 - 07:35 PM,6.86,123.61,1,3.5,051 km S 64° W of Datu Blah T. Sinsuat (Maguindanao Del Norte)
18 May 2024 - 07:30 PM,7.33,126.43,22,3.3,014 km West of Caraga (Davao Oriental)
18 May 2024 - 07:07 PM,8.65,126.46,27,2.4,025 km S 47° E of Marihatag (Surigao Del Sur)
18 May 2024 - 06:16 PM,6.28,125.98,132,2.4,032 km N 75° E of Don Marcelino (Davao Occidental)
18 May 2024 - 05:28 PM,17.38,121.36,30,1.9,015 km S 48° W of City Of Tabuk (Kalinga)
18 May 2024 - 04:44 PM,10.09,126.15,33,2.1,012 km N 46° E of Burgos (Surigao Del Norte)
18 May 2024 - 03:57 PM,9.6,126.17,16,2.3,021 km S 05° E of General Luna (Surigao Del Norte)
18 May 2024 - 02:26 PM,3.75,123.09,539,5.2,301 km S 34° W of Kiamba (Sarangani)
18 May 2024 - 02:19 PM,19.27,121.13,27,2.4,020 km N 23° W of Dalupiri Island (Calayan) (Cagayan)
18 May 2024 - 01:12 PM,16.38,122.19,45,2,002 km S 63° W of Dilasag (Aurora)
18 May 2024 - 11:57 AM,19.06,121.13,8,3.7,010 km S 54° W of Dalupiri Island (Calayan) (Cagayan)
18 May 2024 - 10:48 AM,13.1,124.42,61,2,025 km N 74° E of Prieto Diaz (Sorsogon)
18 May 2024 - 10:27 AM,9.03,126.36,13,2,011 km N 49° E of Bayabas (Surigao Del Sur)
18 May 2024 - 10:02 AM,10.38,126.07,32,1.7,040 km N 05° E of Santa Monica (Surigao Del Norte)
18 May 2024 - 09:27 AM,15.29,119.85,34,2.6,014 km S 72° W of Iba (Zambales)
18 May 2024 - 08:41 AM,10.13,125.94,41,1.6,017 km N 41° W of Santa Monica (Surigao Del Norte)
18 May 2024 - 08:26 AM,5.28,127.34,35,3,200 km S 70° E of Jose Abad Santos (Davao Occidental)
18 May 2024 - 06:19 AM,8.61,127.35,16,3,115 km N 77° E of Hinatuan (Surigao Del Sur)
18 May 2024 - 05:45 AM,6.13,126.71,113,4.5,091 km S 51° E of Governor Generoso (Davao Oriental)
18 May 2024 - 04:49 AM,12.58,120.82,8,3.2,013 km N 83° W of Calintaan (Occidental Mindoro)
18 May 2024 - 04:26 AM,10.02,126.34,13,1.6,029 km N 89° E of Burgos (Surigao Del Norte)
18 May 2024 - 04:22 AM,19.05,121.22,8,2.9,007 km S 12° E of Dalupiri Island (Calayan) (Cagayan)
18 May 2024 - 04:07 AM,8.43,126.77,20,2.5,048 km N 82° E of Hinatuan (Surigao Del Sur)
18 May 2024 - 03:26 AM,9.33,125.59,9,3.3,008 km S 84° E of Jabonga (Agusan Del Norte)
18 May 2024 - 02:53 AM,7.78,126.4,21,2.9,006 km S 78° W of Cateel (Davao Oriental)
18 May 2024 - 01:52 AM,8.29,122.86,33,1.5,016 km N 68° W of Sindangan (Zamboanga Del Norte)
18 May 2024 - 01:48 AM,10.51,122.26,1,2.5,018 km S 21° W of Guimbal (Iloilo)
18 May 2024 - 01:07 AM,10.51,122.06,1,2,012 km S 48° W of San Joaquin (Iloilo)
18 May 2024 - 01:03 AM,14.22,123.37,22,1.8,025 km N 29° E of Siruma (Camarines Sur)
18 May 2024 - 12:50 AM,9.53,126.14,7,2.5,021 km S 63° E of Socorro (Surigao Del Norte)
18 May 2024 - 12:04 AM,13.54,120.73,127,3.7,010 km N 01° W of Abra De Ilog (Occidental Mindoro)
18 May 2024 - 12:01 AM,7.95,126.02,13,2,004 km S 11° W of Santa Josefa (Agusan Del Sur)
17 May 2024 - 11:12 PM,6.44,126.37,19,3.4,041 km S 55° E of Governor Generoso (Davao Oriental)
17 May 2024 - 10:55 PM,15.66,121.12,17,2.3,004 km N 44° W of Bongabon (Nueva Ecija)
17 May 2024 - 10:18 PM,10.04,126.02,29,1.5,002 km N 41° W of Santa Monica (Surigao Del Norte)
17 May 2024 - 10:12 PM,4.45,126.18,98,3.9,136 km S 38° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
17 May 2024 - 10:11 PM,19.25,121.98,1,2.8,029 km S 13° E of Babuyan Island (Calayan) (Cagayan)
17 May 2024 - 09:39 PM,19.3,121.92,8,2.8,023 km S 01° E of Babuyan Island (Calayan) (Cagayan)
17 May 2024 - 09:28 PM,4.42,126.1,13,2.4,133 km S 35° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
17 May 2024 - 09:28 PM,19.4,122.09,1,3.5,023 km S 55° E of Babuyan Island (Calayan) (Cagayan)
17 May 2024 - 09:19 PM,9.24,126.56,18,2,041 km S 84° E of Cortes (Surigao Del Sur)
17 May 2024 - 08:58 PM,7.12,125.36,13,2.8,026 km N 87° E of Magpet (Cotabato)
17 May 2024 - 08:44 PM,8.01,125.66,8,2.5,026 km N 35° W of Laak (Davao De Oro)
17 May 2024 - 08:07 PM,8.3,123.4,29,1.7,016 km S 31° W of Mutia (Zamboanga Del Norte)
17 May 2024 - 06:59 PM,9.05,127.26,31,3.1,106 km N 82° E of Cagwait (Surigao Del Sur)
17 May 2024 - 06:35 PM,10.88,125.33,20,2.3,026 km S 13° W of Balangiga (Eastern Samar)
17 May 2024 - 06:02 PM,7.91,127.57,15,2.8,117 km N 72° E of Baganga (Davao Oriental)
17 May 2024 - 05:00 PM,16.92,120.03,2,2.2,038 km N 78° W of Luna (La Union)
17 May 2024 - 02:53 PM,10.83,125.32,1,2.8,035 km N 75° E of Abuyog (Leyte)
17 May 2024 - 02:50 PM,8.16,126.72,23,2.4,037 km N 68° E of Lingig (Surigao Del Sur)
17 May 2024 - 02:40 PM,8.31,126.49,27,1.7,018 km S 70° E of Hinatuan (Surigao Del Sur)
17 May 2024 - 01:57 PM,5.9,127.13,160,2.3,144 km S 55° E of Governor Generoso (Davao Oriental)
17 May 2024 - 01:50 PM,8.67,126.39,22,2.7,017 km S 35° E of Marihatag (Surigao Del Sur)
17 May 2024 - 01:29 PM,12.37,120.88,1,1.7,014 km S 43° W of Rizal (Occidental Mindoro)
17 May 2024 - 01:06 PM,5.04,126.28,108,3.1,102 km S 62° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
17 May 2024 - 10:54 AM,8.29,126.53,25,2.4,023 km S 68° E of Hinatuan (Surigao Del Sur)
17 May 2024 - 09:23 AM,3.28,125.63,7,3.3,237 km S 06° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
17 May 2024 - 08:41 AM,13.01,125.65,56,3.2,073 km N 36° E of Mapanas (Northern Samar)
17 May 2024 - 07:34 AM,15.66,121.16,29,1.8,004 km N 25° E of Bongabon (Nueva Ecija)
17 May 2024 - 04:31 AM,7.8,126.61,32,1.9,017 km N 87° E of Cateel (Davao Oriental)
17 May 2024 - 04:23 AM,9.24,126.62,1,3.5,048 km S 85° E of Cortes (Surigao Del Sur)
17 May 2024 - 04:17 AM,6.81,126.49,30,2.9,026 km S 11° E of Tarragona (Davao Oriental)
17 May 2024 - 04:08 AM,19.1,121.17,3,2.9,004 km S 83° W of Dalupiri Island (Calayan) (Cagayan)
17 May 2024 - 03:43 AM,8.33,126.63,26,3.1,032 km S 83° E of Hinatuan (Surigao Del Sur)
17 May 2024 - 02:47 AM,6.91,125.76,36,2.5,019 km S 17° E of Island Garden City Of Samal (Davao Del Norte)
17 May 2024 - 02:22 AM,6.25,126.66,32,3.3,079 km S 55° E of Governor Generoso (Davao Oriental)
17 May 2024 - 02:00 AM,9.76,126.29,17,2.7,014 km S 80° E of General Luna (Surigao Del Norte)
17 May 2024 - 01:54 AM,10.06,126.21,24,3.1,016 km N 74° E of Burgos (Surigao Del Norte)
17 May 2024 - 01:46 AM,17.64,120.58,3,2.6,006 km N 43° W of Bangued (Abra)
17 May 2024 - 01:21 AM,10.73,125.29,18,2.5,031 km S 87° E of Abuyog (Leyte)
17 May 2024 - 12:56 AM,8.53,126.62,12,2.3,036 km N 60° E of Hinatuan (Surigao Del Sur)
17 May 2024 - 12:41 AM,5.83,125.13,24,1.8,008 km N 86° W of Glan (Sarangani)
17 May 2024 - 12:40 AM,17.04,120.08,17,3.2,038 km N 58° W of Luna (La Union)
17 May 2024 - 12:35 AM,9.18,126.4,27,2.8,025 km S 65° E of Cortes (Surigao Del Sur)
16 May 2024 - 11:57 PM,6.33,126.47,46,2.7,057 km S 51° E of Governor Generoso (Davao Oriental)
16 May 2024 - 10:28 PM,8.37,126.57,26,2.7,026 km S 89° E of Hinatuan (Surigao Del Sur)
16 May 2024 - 10:27 PM,17.97,121.18,2,3.3,006 km South of Kabugao (Apayao)
16 May 2024 - 09:56 PM,8.82,126.59,20,1.8,032 km N 86° E of Marihatag (Surigao Del Sur)
16 May 2024 - 09:28 PM,14.31,123.47,1,2.6,039 km N 35° E of Siruma (Camarines Sur)
16 May 2024 - 09:14 PM,9.28,122.33,29,2.8,037 km S 66° W of Basay (Negros Oriental)
16 May 2024 - 08:58 PM,8.79,126.59,19,2.7,032 km S 88° E of Marihatag (Surigao Del Sur)
16 May 2024 - 08:33 PM,9.98,125.46,26,2.8,013 km S 72° W of San Jose (Dinagat Islands)
16 May 2024 - 08:23 PM,10.02,126.06,14,3.7,002 km S 79° W of Burgos (Surigao Del Norte)
16 May 2024 - 08:10 PM,6.58,124.95,16,2.4,010 km N 78° E of Lutayan (Sultan Kudarat)
16 May 2024 - 08:02 PM,10.23,126.65,2,3,067 km N 70° E of Burgos (Surigao Del Norte)
16 May 2024 - 07:53 PM,8.71,126.67,2,3.3,042 km S 76° E of Marihatag (Surigao Del Sur)
16 May 2024 - 06:31 PM,10.57,123.43,8,2.8,006 km S 67° W of Calatrava (Negros Occidental)
16 May 2024 - 06:03 PM,8.55,126.77,2,2.5,051 km N 67° E of Hinatuan (Surigao Del Sur)
16 May 2024 - 05:18 PM,14.04,122.67,1,2.4,016 km N 58° E of Tagkawayan (Quezon)
16 May 2024 - 02:35 PM,18,121.3,9,3.1,012 km S 76° E of Kabugao (Apayao)
16 May 2024 - 02:31 PM,8.96,126.55,16,2.2,027 km N 81° E of Cagwait (Surigao Del Sur)
16 May 2024 - 11:31 AM,19.02,121.14,7,4.2,012 km S 34° W of Dalupiri Island (Calayan) (Cagayan)
16 May 2024 - 09:04 AM,13.7,122.27,3,3.1,011 km N 86° E of General Luna (Quezon)
16 May 2024 - 09:00 AM,5.98,124.9,32,1.6,017 km N 40° W of Maasim (Sarangani)
16 May 2024 - 08:06 AM,13.82,120.88,5,2.4,006 km S 45° W of San Luis (Batangas)
16 May 2024 - 08:02 AM,6.33,124.76,35,2,005 km S 13° E of Surallah (South Cotabato)
16 May 2024 - 06:00 AM,13.86,120.87,1,2.5,005 km N 80° W of San Luis (Batangas)
16 May 2024 - 05:51 AM,9.94,126.18,49,1.7,010 km N 89° E of San Isidro (Surigao Del Norte)
16 May 2024 - 05:21 AM,7.56,126.02,32,1.8,007 km S 50° E of Nabunturan (Davao De Oro)
16 May 2024 - 04:53 AM,18.11,121.52,32,1.6,010 km N 61° W of Lasam (Cagayan)
16 May 2024 - 04:20 AM,6.86,126.24,29,2.1,010 km S 13° E of City Of Mati (Davao Oriental)
