Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
24 May 2024 - 03:43 AM,6.9,127.13,2,2.7,074 km S 63° E of Manay (Davao Oriental)
24 May 2024 - 03:36 AM,14,120.49,116,1.9,017 km S 62° W of Nasugbu (Batangas)
24 May 2024 - 02:51 AM,9.24,126.15,14,1.9,006 km S 48° W of Cortes (Surigao Del Sur)
24 May 2024 - 02:20 AM,11.65,125.88,21,2.3,045 km N 41° E of Hernani (Eastern Samar)
24 May 2024 - 02:02 AM,17.75,120.61,8,2.2,008 km N 41° W of Danglas (Abra)
24 May 2024 - 02:00 AM,8.86,126.45,42,2,018 km S 68° E of Cagwait (Surigao Del Sur)
24 May 2024 - 01:18 AM,9.01,126.1,24,1.6,010 km N 44° E of San Miguel (Surigao Del Sur)
24 May 2024 - 01:13 AM,12.72,122,15,2,008 km S 35° W of Corcuera (Romblon)
24 May 2024 - 12:54 AM,9.01,123.57,24,2.3,018 km S 28° E of San Juan (Siquijor)
24 May 2024 - 12:37 AM,8.68,126.6,1,2.7,036 km S 68° E of Marihatag (Surigao Del Sur)
24 May 2024 - 12:36 AM,10.34,126.34,14,2.4,046 km N 39° E of Burgos (Surigao Del Norte)
24 May 2024 - 12:08 AM,2.54,126.62,66,3.8,344 km S 23° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
23 May 2024 - 11:50 PM,17.39,120.72,32,1.5,005 km S 19° E of Manabo (Abra)
23 May 2024 - 11:39 PM,5.24,126,1,3.1,064 km S 66° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
23 May 2024 - 11:28 PM,9.63,123.17,12,1.7,007 km N 51° E of City Of Bais (Negros Oriental)
23 May 2024 - 11:16 PM,7.58,126.89,17,2.4,036 km N 88° E of Baganga (Davao Oriental)
23 May 2024 - 10:38 PM,19.12,121.29,24,2.2,009 km N 78° E of Dalupiri Island (Calayan) (Cagayan)
23 May 2024 - 10:37 PM,15.33,120.26,141,1.7,026 km N 81° E of Botolan (Zambales)
23 May 2024 - 10:19 PM,6.22,125.21,107,3.3,018 km S 21° W of Malungon (Sarangani)
23 May 2024 - 09:42 PM,14.9,120.44,21,1.6,004 km N 35° W of Dinalupihan (Bataan)
23 May 2024 - 08:47 PM,12.96,125.13,15,2.5,045 km N 17° E of Laoang (Northern Samar)
23 May 2024 - 08:09 PM,8.41,126.63,17,3.3,032 km N 81° E of Hinatuan (Surigao Del Sur)
23 May 2024 - 07:55 PM,10.81,125.36,1,3.1,033 km S 05° W of Balangiga (Eastern Samar)
23 May 2024 - 06:04 PM,5.54,125.88,134,2.5,046 km N 81° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
23 May 2024 - 05:54 PM,9.91,125.5,32,2.3,013 km S 67° W of Dinagat (Dinagat Islands)
23 May 2024 - 05:28 PM,9.9,125.44,2,2.3,013 km N 24° W of City Of Surigao (Surigao Del Norte)
23 May 2024 - 04:37 PM,13.65,120.66,108,1.8,021 km S 08° E of Calatagan (Batangas)
23 May 2024 - 04:33 PM,18.43,121.07,10,2.1,016 km S 29° E of Santa Praxedes (Cagayan)
23 May 2024 - 04:32 PM,5.68,126.19,32,2.2,065 km S 73° E of Jose Abad Santos (Davao Occidental)
23 May 2024 - 03:42 PM,16.59,119.71,27,2.2,030 km N 42° W of Bolinao (Pangasinan)
23 May 2024 - 03:29 PM,10.26,126.09,8,3.8,027 km N 04° E of Burgos (Surigao Del Norte)
23 May 2024 - 02:47 PM,6.45,126.06,23,2.3,023 km S 03° W of Governor Generoso (Davao Oriental)
23 May 2024 - 02:44 PM,9.39,125.65,24,1.9,010 km S 48° E of Kitcharao (Agusan Del Norte)
23 May 2024 - 02:16 PM,9.78,125.37,5,3,006 km S 88° W of San Francisco (Surigao Del Norte)
23 May 2024 - 02:08 PM,19.23,121.24,27,2.1,014 km N 13° E of Dalupiri Island (Calayan) (Cagayan)
23 May 2024 - 02:07 PM,10.81,125.34,7,2.3,036 km N 78° E of Abuyog (Leyte)
23 May 2024 - 01:08 PM,9.76,126.1,40,3,005 km S 89° E of Dapa (Surigao Del Norte)
23 May 2024 - 12:56 PM,8.35,126.63,28,3.9,032 km S 87° E of Hinatuan (Surigao Del Sur)
23 May 2024 - 12:23 PM,17.38,122.74,19,2.5,048 km N 83° E of Divilacan (Isabela)
23 May 2024 - 10:11 AM,7.68,126.06,35,1.8,004 km N 63° W of Compostela (Davao De Oro)
23 May 2024 - 09:32 AM,4.93,127.22,13,3.4,203 km S 73° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
23 May 2024 - 07:57 AM,16.38,120.25,13,2.8,011 km S 82° W of Aringay (La Union)
23 May 2024 - 06:51 AM,7.06,125.35,11,2.6,026 km S 79° E of Magpet (Cotabato)
23 May 2024 - 06:36 AM,5.6,126.26,63,3.2,077 km S 63° E of Jose Abad Santos (Davao Occidental)
23 May 2024 - 06:25 AM,6.48,125.33,82,2.4,013 km N 31° E of Malungon (Sarangani)
23 May 2024 - 04:53 AM,10.34,126.01,15,2.1,036 km N 04° W of Santa Monica (Surigao Del Norte)
23 May 2024 - 04:50 AM,6.29,126.26,21,2.6,045 km S 27° E of Governor Generoso (Davao Oriental)
23 May 2024 - 04:27 AM,4.57,125.84,53,2.3,065 km S 38° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
23 May 2024 - 04:26 AM,6.73,126.02,27,2.6,011 km N 33° W of Governor Generoso (Davao Oriental)
23 May 2024 - 04:18 AM,10.28,126.13,6,2.5,029 km N 12° E of Burgos (Surigao Del Norte)
23 May 2024 - 04:01 AM,13.01,124.53,10,2.3,036 km S 85° E of Prieto Diaz (Sorsogon)
23 May 2024 - 04:00 AM,11.52,125.29,73,2.3,018 km S 58° W of City Of Borongan (Eastern Samar)
23 May 2024 - 03:43 AM,10.2,126.13,19,2.5,021 km N 17° E of Burgos (Surigao Del Norte)
23 May 2024 - 03:38 AM,13.71,122.7,5,2.1,015 km S 38° W of Ragay (Camarines Sur)
23 May 2024 - 03:13 AM,5.93,126.12,116,2.7,052 km N 87° E of Jose Abad Santos (Davao Occidental)
23 May 2024 - 02:59 AM,12.37,124.52,40,1.5,014 km N 54° W of Lope De Vega (Northern Samar)
23 May 2024 - 02:56 AM,10.68,123.08,7,2.1,009 km N 25° E of Murcia (Negros Occidental)
23 May 2024 - 02:51 AM,8.53,126.85,6,3.3,059 km N 72° E of Hinatuan (Surigao Del Sur)
23 May 2024 - 02:49 AM,8.49,123.38,28,1.6,005 km S 20° E of Polanco (Zamboanga Del Norte)
23 May 2024 - 02:06 AM,11.93,125.33,34,2,010 km N 70° W of Taft (Eastern Samar)
23 May 2024 - 01:50 AM,5.78,126.59,42,2.3,106 km S 82° E of Jose Abad Santos (Davao Occidental)
23 May 2024 - 01:20 AM,4.6,126.36,64,4.4,138 km S 49° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
23 May 2024 - 01:09 AM,10.31,126.14,12,3.7,033 km N 13° E of Burgos (Surigao Del Norte)
23 May 2024 - 12:59 AM,10.32,126.13,24,1.8,034 km N 10° E of Burgos (Surigao Del Norte)
23 May 2024 - 12:57 AM,11.11,121.64,22,2.8,044 km S 78° W of Barbaza (Antique)
23 May 2024 - 12:54 AM,12.9,125.32,15,3,045 km N 29° E of Palapag (Northern Samar)
23 May 2024 - 12:23 AM,6.1,126.82,95,3.3,103 km S 53° E of Governor Generoso (Davao Oriental)
22 May 2024 - 11:52 PM,10.36,126.18,10,2.4,040 km N 16° E of Burgos (Surigao Del Norte)
22 May 2024 - 11:34 PM,8.62,126.65,6,2.9,044 km N 51° E of Hinatuan (Surigao Del Sur)
22 May 2024 - 11:33 PM,11.79,125.67,1,2.2,024 km N 79° E of San Julian (Eastern Samar)
22 May 2024 - 11:06 PM,12.41,125.22,14,2.2,008 km S 30° W of Mapanas (Northern Samar)
22 May 2024 - 11:00 PM,10.4,126.2,4,2.6,044 km N 18° E of Burgos (Surigao Del Norte)
22 May 2024 - 10:51 PM,10.39,126.28,6,4,047 km N 29° E of Burgos (Surigao Del Norte)
22 May 2024 - 08:18 PM,8.74,126.55,15,2.3,029 km S 78° E of Marihatag (Surigao Del Sur)
22 May 2024 - 08:15 PM,6.44,125.27,18,2.4,007 km N 02° W of Malungon (Sarangani)
22 May 2024 - 08:04 PM,6.35,126.23,117,2.1,038 km S 28° E of Governor Generoso (Davao Oriental)
22 May 2024 - 07:38 PM,17.92,120.44,23,2.1,004 km S 87° W of Badoc (Ilocos Norte)
22 May 2024 - 07:31 PM,6.07,125.45,16,1.5,018 km S 79° E of Alabel (Sarangani)
22 May 2024 - 06:49 PM,9.92,125.48,157,2.8,014 km N 05° W of City Of Surigao (Surigao Del Norte)
22 May 2024 - 05:29 PM,13.54,120.62,45,1.6,015 km N 48° W of Abra De Ilog (Occidental Mindoro)
22 May 2024 - 04:47 PM,10.33,126.17,11,4.5,036 km N 17° E of Burgos (Surigao Del Norte)
22 May 2024 - 04:24 PM,10.9,122.37,1,3.1,016 km N 22° E of Tubungan (Iloilo)
22 May 2024 - 04:16 PM,13.82,120.59,99,1.6,004 km S 75° W of Calatagan (Batangas)
22 May 2024 - 04:00 PM,6.17,126.18,63,3.4,054 km S 87° E of Don Marcelino (Davao Occidental)
22 May 2024 - 03:56 PM,8.4,126.62,26,3.1,031 km N 83° E of Hinatuan (Surigao Del Sur)
22 May 2024 - 03:31 PM,13.69,120.25,23,1.7,004 km S 09° W of Looc (Occidental Mindoro)
22 May 2024 - 02:26 PM,13.52,120.83,5,3.1,013 km N 80° W of Puerto Galera (Oriental Mindoro)
22 May 2024 - 12:38 PM,11.67,125.89,9,2.5,048 km S 79° E of San Julian (Eastern Samar)
22 May 2024 - 11:58 AM,4,126.79,18,3.5,218 km S 44° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
22 May 2024 - 11:36 AM,8.75,126.24,33,1.5,002 km N 84° E of San Agustin (Surigao Del Sur)
22 May 2024 - 10:21 AM,8.17,126.94,11,2.8,069 km S 72° E of Hinatuan (Surigao Del Sur)
22 May 2024 - 10:14 AM,12.3,125.46,15,2.7,014 km N 22° W of San Policarpo (Eastern Samar)
22 May 2024 - 08:41 AM,9.66,122.71,12,2,020 km S 22° E of Candoni (Negros Occidental)
22 May 2024 - 08:26 AM,5.81,126.2,121,2.5,062 km S 80° E of Jose Abad Santos (Davao Occidental)
22 May 2024 - 08:18 AM,20.08,121.56,31,3.8,043 km S 49° W of Sabtang (Batanes)
22 May 2024 - 08:05 AM,13.69,120.66,122,1.9,017 km S 11° E of Calatagan (Batangas)
22 May 2024 - 07:25 AM,6.01,126.31,100,2.2,071 km S 73° E of Don Marcelino (Davao Occidental)
22 May 2024 - 05:53 AM,13.93,120.46,94,2.4,022 km N 60° W of Calatagan (Batangas)
22 May 2024 - 05:09 AM,6.75,126.44,29,2,033 km S 47° E of City Of Mati (Davao Oriental)
22 May 2024 - 05:08 AM,10.85,125.28,1,2,031 km N 69° E of Abuyog (Leyte)
